name,source_id,ref_dmin_pc,our_dmin_pc,ref_lo_pc,ref_hi_pc,our_lo_pc,our_hi_pc,d_ratio,ref_tmin_kyr,our_tmin_kyr,mc_censored,grade,sys_dmin_pc,window_limited,catalog
GJ 373,1051547052218220160,9.5783,9.586,9.5487,9.6073,9.57121,9.59903,1.001,-118.5,-117.8,0.0,A,6e-05,False,BJ2018
SZ UMa,1057318835428596096,8.1929,8.1948,8.1829,8.2024,8.19177,8.19851,1.0,-27.1,-27.1,0.0,A,0.0,False,BJ2018
GJ 3560,1062935140823485184,4.9078,4.9265,4.8546,4.9623,4.905,4.94684,1.004,401.4,400.5,0.0,A,0.00109,False,BJ2018
TYC 4138-222-1,1064350521526545664,4.2396,4.0605,4.1131,4.3684,4.02217,4.09758,0.958,3742.5,3748.8,0.0,A,0.15331,False,BJ2018
TYC 4385-1326-1,1072718182970553728,8.0849,7.0651,7.6439,8.533,6.95413,7.17749,0.874,-4784.5,-4908.9,0.055,A,0.14289,False,BJ2018
TYC 4387-523-1,1077669318190256384,8.2545,7.4842,7.9696,8.5399,7.41821,7.55539,0.907,4008.6,3946.9,0.0,A,0.28631,False,BJ2018
TYC 3790-1617-1,1082113436815158912,8.3916,8.0931,7.9871,8.815,8.01906,8.15244,0.964,2325.8,2320.8,0.0,A,0.14813,False,BJ2018
GJ 9236,1088813933689615872,6.6383,6.5971,6.6069,6.6681,6.58055,6.61181,0.994,188.6,188.3,0.0,A,4e-05,False,BJ2018
3 UMa,1092545710514654464,6.2806,6.272,6.1807,6.3795,6.23056,6.3207,0.999,880.0,876.7,0.0,A,0.00043,False,BJ2018
GJ 322,1092897519875582592,7.1655,7.1166,7.0456,7.2792,7.08403,7.1494,0.993,588.8,584.6,0.0,A,0.00154,False,BJ2018
PM J08394+6630,1093059521745795200,9.5385,9.4833,9.4039,9.6734,9.42619,9.54587,0.994,852.8,849.6,0.0,A,0.00624,False,BJ2018
TYC 4119-756-1,1101176430115605376,1.0421,1.3666,0.8912,1.1944,1.33178,1.39759,1.311,2249.9,2241.1,0.0,A,0.06498,False,BJ2018
TYC 4119-532-1,1101407430636864512,7.6753,7.7855,7.5886,7.7673,7.73982,7.82702,1.014,1384.5,1368.4,0.0,B,0.03177,False,BJ2018
2MASS J06084163+6608428,1104805849281240320,2.164,2.5031,2.0313,2.2905,2.46855,2.52951,1.157,3685.1,3804.1,0.0,A,0.321,False,BJ2018
2MASS J07265791+6938461,1108794774387604096,5.9359,6.222,5.7266,6.1584,6.16819,6.2765,1.048,3226.4,3206.6,0.0,A,0.33859,False,BJ2018
2MASS J06585364+7112217,1109980662099748992,7.2535,6.5311,6.6474,7.9258,6.38509,6.65944,0.9,4321.0,4374.7,0.0,A,0.37076,False,BJ2018
