name,simbad_id,source_id,hip,sp_type,system,dist_now_pc,ra,dec,parallax,parallax_error,parallax_catalog,parallax_source,pmra,pmdec,pmra_error,pmdec_error,rv,rv_error,rv_source,rv_component,system_parent,x,y,z,vx,vy,vz,gal_dmin_pc,gal_tmin_myr,lin_dmin_pc,lin_tmin_myr,mc_dmin_med,mc_dmin_lo,mc_dmin_hi,mc_tmin_med,mc_tmin_lo,mc_tmin_hi,mc_censored,mc_model,sys_dmin_pc,sys_dominant,zp_dmin_pc,grade,rv_reliability,astrom_flag,is_wd,featured
Gaia DR3 2047953832551374336,,2047953832551374336,,,-1,131.2203867570966,296.6189737895451,36.414891596181235,7.620767052387296,0.010329673,,,5.120663086317952,-2.445932297755549,0.010285161,0.011357917,-23.892036,0.77914816,gaia,,,42.171980856650286,123.5595571744191,13.166235687158018,-7.805848120796742,-22.08044400150786,-5.900262278398786,19.943980,5.000000,19.179401982270186,5.255526712080468,19.95108,18.63761,21.99018,5.00000,5.00000,5.00000,0.930,integrated,0.06547,halo scale radius -20%,0.44520,A,good,,0,
Gaia DR3 1450808449004556544,,1450808449004556544,,,-1,143.5476632297092,209.39726418422268,26.688465884368426,6.966327263717073,0.077651285,,,-51.750887319252215,24.73619315573618,0.07954552,0.05728326,278.92804,8.217703,gaia,,,29.924974396915484,20.952661307516834,138.82151674069277,21.418559161323422,31.361973098826006,279.0734651661532,19.900781,-0.493339,19.893475598830538,-0.4935469634367417,19.95225,19.20977,20.74053,-0.49431,-0.50957,-0.47722,0.000,integrated,0.00112,disc scale height 0.20 kpc,0.27994,B,good,high_ruwe,0,
Gaia DR3 3111060458512074368,,3111060458512074368,,,-1,258.73281230248574,109.02891656059344,-0.035369292049849406,3.8649910349634946,0.100332074,,,-2.237792564306514,0.6578043853530795,0.12366156,0.123799466,47.83406,0.6199576,gaia,,,-208.93104708515605,-150.6043863498928,24.67396478123941,-39.941580151500276,-26.357097405120747,2.5010258481668655,19.360593,-5.000000,15.4464326559846,-5.269994923945715,19.95291,14.93985,25.43702,-5.00000,-5.00000,-5.00000,0.980,integrated,0.23096,disc scale height 0.20 kpc,2.52757,B,good,high_ruwe,0,
Gaia DR3 4173889354729492480,,4173889354729492480,,,-1,45.51343587448575,272.5230744111746,-4.974539650183365,21.97153391709957,0.15690306,,,-49.876314345282175,-58.62132508500911,0.16503263,0.13528207,-34.19927,1.0097373,gaia,,,41.36496779588606,18.188124825421443,5.4409925272071265,-24.936282641087956,-28.691387664845607,-0.5872482681720408,19.891432,1.053006,19.880361801347348,1.0529975767901523,19.95318,19.39734,20.49881,1.05435,1.03336,1.07344,0.000,integrated,0.00175,disc scale length -0.5 kpc,0.08167,B,good,"high_ruwe,non_single",0,
Gaia DR3 6719000765751673216,,6719000765751673216,,,586,51.61709369208794,288.11338843710956,-37.04237402062574,19.373427065950512,0.44504002,,,-33.23502423088145,-56.950062029622174,0.42326313,0.36540368,-38.644947,2.3453197,gaia,,,48.54415139274773,0.5209784563893475,-17.53619993680934,-35.1557482985995,-16.231691472765412,15.948581889574545,19.894896,1.112150,19.886716386861643,1.112153503617872,19.95320,18.66765,21.33295,1.11383,1.06187,1.16817,0.000,integrated,0.00103,disc mass +15%,0.09475,B,good,high_ruwe,0,
LHS 3258,G 240-38,1649026618553865472,,M1.5V,-1,26.911169884447062,254.67572397577862,68.89882693265304,37.15929126432873,0.014715601,,,-528.5268838034337,200.99075594912296,0.019077033,0.020879807,-65.24131,0.2753778,gaia,,,-3.8455995027737595,21.645561357511482,15.520699163763286,-27.636756577330434,-92.7765443362475,9.419711520698282,19.957669,0.181500,19.958961038576263,0.1814722835014032,19.95360,19.92134,19.99242,0.18151,0.18143,0.18157,0.000,integrated,0.00043,disc scale height 0.20 kpc,0.03888,A,good,,0,
PM J04312+4217,PM J04312+4217,252216873515630080,,M2.5Ve,-1,22.30507560393992,67.81244995478562,42.28579800662597,44.83284512263039,0.022988299,,,-2.6528291962907424,-122.28997699372101,0.02839519,0.021944778,6.4769526,0.702919,gaia,,,-20.94868734978547,7.492676496172887,-1.5901870777089309,-8.593005137635826,-6.754512030419429,-9.474427976014798,19.945875,-0.675062,19.943988365343237,-0.6751515750905377,19.95478,19.49549,20.30427,-0.67509,-0.71618,-0.63516,0.000,integrated,0.00029,disc scale length -0.5 kpc,0.02668,A,good,,0,
HD 207594,,1772352275131285888,,,-1,283.654172938786,327.43354024624705,15.60843559997406,3.525419667334861,0.024841893,,,-1.0654389216050895,-0.6786854864435463,0.026067466,0.021012018,-51.48052,0.12439782,gaia,,,78.88151612496573,236.1872763898705,-135.8416972470103,-12.68999394298299,-43.205199982995865,25.008078669532367,19.805919,5.000000,9.354192381698144,5.381709763198794,19.95529,18.27273,21.50267,5.00000,5.00000,5.00000,1.000,integrated,0.19710,disc scale height 0.40 kpc,3.08663,A,good,,0,
Gaia DR3 3170968930095200512,,3170968930095200512,,,-1,135.04596413339243,67.7078159679164,-17.871413772813444,7.404886228308489,0.02327993,,,-2.8665796687171134,-3.8429004944266367,0.01942349,0.017962016,24.825397,3.2860253,gaia,,,-86.49606606757274,-59.76763729757768,-84.75654851052401,-13.626937714963999,-11.418186165995499,-17.59693126739788,19.801490,-5.000000,16.569839539188884,-5.238947883636693,19.95615,17.34373,30.54761,-5.00000,-5.00000,-4.63227,0.590,integrated,0.60600,disc scale height 0.20 kpc,0.38656,A,good,,0,
Gaia DR3 4325623711706539648,,4325623711706539648,,,-1,59.76805223648144,247.74820814982274,-15.048349013716743,16.731346640565548,0.13302082,,,-13.72278949425727,-39.53604205415953,0.1438536,0.103464074,-34.892166,7.9899225,gaia,,,55.36652639819342,1.3717004139403408,22.46967424586571,-30.588696433153075,-11.967498653993879,-16.708346752781694,19.261674,1.501009,19.23068746233484,1.5014996005713588,19.95878,15.70750,24.70939,1.54382,1.24567,1.85340,0.000,integrated,0.00530,disc scale height 0.20 kpc,0.10877,B,good,high_ruwe,0,
